,French text, Expected text,Predicted text
156165,contracter un cancer tôt accroît les chances de survie,catching cancer early increases survival odds,i efforts a sweat to her                                         
156170,la civilisation est aujourdhui menacée par une guerre nucléaire,civilization is now threatened by nuclear war,the town is a   roses                                        
156173,passez me voir nimporte quand demain aprèsmidi,come to see me at any time tomorrow afternoon,stop is can i see at                                         
156175,convaincre tom de faire ce qui était juste fut difficile,convincing tom to do the right thing was hard,everybody was knows was                                           
156185,êtesvous partis à létranger pour le plaisir ou pour le travail ,did you go abroad for pleasure or on business,are you going to or  for                                        
156189,etesvous allé à votre cours de danse cet aprèsmidi ,did you go to your dance class this afternoon,i was wrong about saved it                                         
156220,ne me posez pas tant de questions servezvous de votre tête,dont ask me so many questions use your head,be tom on in                                           
156233,ne mets pas le portefeuille sur le radiateur,dont put the wallet on the top of the heater,put this wet on                                           
156252,généralement les hommes sont plus grands que les femmes,generally speaking men are taller than women,three times as than i                                          
156261,bonpapa disait toujours quon connaîtrait des jours tels que ceuxci,grandpa always said thered be days like this,i always tom knew i  tell him                                       
156268,astu jamais songé à quitter ton boulot ,have you ever thought about quitting your job,have i ask your   friends                                        
156276,il commença son cours par une anecdote pleine dhumour,he began his lecture with a humorous anecdote,he presented a book for a of                                        
156301,il a postposé son départ à demain,he has postponed his departure until tomorrow,he was her his all                                          
156327,il rassembla son courage et la demanda en mariage,he screwed up his courage and proposed to her,he always the car and car by                                        
156330,il choisit une paire de chaussettes pour aller avec son complet,he selected a pair of socks to match his suit,he kicked a lot for  of                                        
156347,il fut exilé sur une île pour haute trahison,he was banished to an island for high treason,he was a  to  the                                        
156360,il est parti au bureau de poste pour poster une lettre,he went to the post office to mail the letter,he is a new to  desk                                        
156446,je narrive pas à croire à tout ce qui vient de se produire,i cant believe everything that just happened,i just what this anything                                          
156452,je ne peux pas moccuper de ce problème maintenant,i cant concentrate on that problem right now,i do it way                                           
156472,je ne pouvais me faire entendre dans la salle de classe,i couldnt make myself heard in the classroom,i can you to  the bus                                        
156475,je lai fait sans consulter personne,i did that without asking for anyones advice,i did it  consulting                                          
156515,je me sens très mal à propos de la manière dont les choses sont arrivées,i feel terrible about the way things happened,i feel things out things                                          
156536,je navais jamais vu ce genre de poisson jusquà maintenant,i had never seen that kind of fish until then,never seen any dream in this before                                        
156564,jentends quelle va se marier le mois prochain,i hear she is going to get married next month,how year for next                                           
156585,je ne veux tout simplement pas vous voir être déçus,i just dont want to see you get disappointed,i want to be  get involved                                        
156595,je sais que je ne veux pas être marié avec toi,i know that i dont want to be married to you,i can i to  you                                         
156601,je sais que ce nétait pas la réponse que vous souhaitiez,i know that that wasnt the answer you wanted,i know what to  for                                         
156651,cest la première fois en 2 ans que jai vu un film,i saw a movie for the first time in two years,the way more waiting to  a                                        
156676,je pense quil est temps pour moi dabandonner ce projet,i think its time for me to abandon that plan,i think its is to                                          
156685,je pense que tu nas pas regardé la vidéo jusquà la fin,i think you didnt watch the video to the end,i think the answer you the                                         
156689,je pense que vous allez trouver ceci intéressant,i think youre going to find this interesting,i think its find be                                          
156694,je pensais que ton père tavait retiré ta carte de crédit,i thought your dad took away your credit card,i thought i health on  you                                        
156708,je veux me marier et avoir des enfants,i want to get married and i want to have kids,i want to   a of                                        
156724,je veux que vous sachiez que tom est important pour moi,i want you to know that toms important to me,i think you to me                                          
156734,jétais très fatigué alors je me suis immédiatement endormi,i was very tired so i fell asleep right away,take late coming to                                           
156737,je suis allé à lhôpital pour faire examiner mes yeux,i went to the hospital to have my eyes tested,i am for to for my eyes                                        
156739,je passerai ma vie à étudier lhistoire,i will devote my life to the study of history,i remember my   life                                         
156754,je voudrais ajouter quelques informations à mon rapport,id like to add some information to my report,id like to because to those                                         
156809,je suis certain que mes parents ne me laisseront pas aller seul,im sure my parents wont let me go by myself,i   go                                           
156824,je rends visite à un ami à moi à lhôpital,im visiting a friend of mine in the hospital,i visit for  day                                          
156827,jai déjà remis mon rendezvous deux fois,ive already rescheduled my appointment twice,have finished having me at                                          
156857,si vous ne vous fiez pas à elles elles ne se fieront pas à vous,if you dont trust them they wont trust you,if i that you                                           
156862,si tu ne veux pas le faire tu ny es pas obligé,if you dont want to do it you dont have to,i to you want you                                          
156882,en fait linverse est davantage susceptible de se produire,in fact the opposite is more likely to occur,two is it only to like                                         
156914,on dirait quon est parti pour avoir du mauvais temps,it looks like were in for some nasty weather,the baby less easy during his bad                                        
156919,il ne mest jamais venu à lesprit que je pourrais avoir tort,it never occurred to me that i might be wrong,he may no never  hurt                                         
156930,cétait moins cher que je lavais pensé,it was cheaper than i had thought it would be,what she like where i was                                         
156976,peutêtre que tom na pas fait ce que tout le monde dit quil a fait,maybe tom didnt do what everyone says he did,did it what  happened                                          
156978,les membres de cette tribu se sont établis le long du fleuve,members of that tribe settled along the river,the trees made out to                                          
156980,les métaux peuvent devenir cassants à basses températures,metals can become brittle at low temperatures,the can pasta to                                           
157023,napoléon vécut en exil sur lîle delbe,napoleon lived in exile on the island of elba,i on   to the roof                                        
157065,éteins la lumière que je puisse dormir sil te plait,please turn out the light so that i can sleep,i like i quickly the  door                                        
157085,elle le fit incinérer dans les vingtquatre heures suivant son décès,she cremated him within 24 hours of his death,she was her novels to the                                         
157126,elle a su faire dune pierre deux coups,she was able to kill two birds with one stone,she suggested to   cry family                                        
157137,elle fut la première à le remarquer,she was the first one to pay attention to him,she was in carefully                                           
157141,elle alla le voir à lhôpital chaque jour,she went to see him in the hospital every day,she went to  the day                                         
157177,ce pays est environ deux fois plus grand que le japon,that country is about twice as large as japan,this year is died to year                                         
157190,le sahara est le plus grand désert du monde,the sahara is the largest desert in the world,the train is  the                                          
157225,le passeur a été arrêté à laéroport,the drug smuggler was arrested at the airport,the choice was stopped to                                          
157332,il y avait une ressemblance frappante entre elles,there was a striking resemblance between them,there was a  nice                                          
157336,il y avait plus de cinquante filles à la fête,there were more than fifty girls at the party,there was no his                                           
157380,cette entreprise espionnait ses employés,this company has been spying on its employees,that easy  worth will                                          
157394,cest la même montre que celle que jai perdue il y a une semaine,this is the same watch that i lost a week ago,the boy as  i a  week                                       
157396,ce lac est parmi les plus profonds du pays,this lake is among the deepest in the country,the plane is too for to                                         
157412,aujourdhui je dois rencontrer mon nouveau professeur de philosophie,today i got to meet my new philosophy teacher,i must to   my                                         
157419,tom et mary ont quitté le bureau ensemble à 14 h 30,tom and mary left the office together at 230,tom and mary  at together                                         
157463,tom nest pas encore là il a dû rater son bus,tom isnt here yet he mustve missed the bus,tom is tom new his                                          
157486,tom ma dit quil était déterminé à faire ça,tom told me that he was determined to do that,tom was that                                            
157518,étaitce toi qui as laissé la porte ouverte la nuit dernière ,was it you that left the door open last night,i turned the turned last night                                         
157520,étaitce vous qui avez laissé la porte ouverte la nuit dernière ,was it you that left the door open last night,i turned the off last night                                         
157557,nous essaierons de répondre à toutes ces questions plus tard,well try to answer all those questions later,we managed to later the later                                         
157561,nous nous connaissons depuis que nous sommes gosses,weve known each other since we were children,we have find that                                           
157613,qui surveillait tom quand cest arrivé ,who was taking care of tom when this happened,what knows that when i was                                         
157619,pourquoi ne demandestu pas simplement de largent à tes parents ,why dont you just ask your parents for money,why you the your                                           
157621,pourquoi dieu voudraisje être enseignante ,why in the world would i want to be a teacher,why can i just be a                                         
157634,seriezvous prêt à écrire une lettre pour moi ,would you be willing to write a letter for me,are you show me for  little                                        
157644,voudraistu voyager aux étatsunis ,would you like to travel to the united states,i like to  of                                          
157650,à moins que tu étudies plus intensivement tu te destines à léchec,you are bound to fail unless you study harder,at i go  you   at                                       
157662,tu peux rester dans la chambre supplémentaire si tu veux,you can stay in the extra bedroom if you want,you can me  as want ask                                        
157684,vous devriez faire ça tant que vous le pouvez encore,you should do that while youre still able to,you should do more than to                                         
157694,tu devrais profiter de cette occasion,you should take advantage of this opportunity,you seem perfect                                            
157695,tu devrais le noter avant de loublier,you should write it down before you forget it,you should part this the cold                                         
157727,vous êtes la plus belle fille quil mait été donné de voir,youre the most beautiful girl ive ever seen,the best to kind to                                          
157728,vous êtes la plus belle fille que jaie jamais vue,youre the most beautiful girl ive ever seen,people are to for to                                          
157738,vous êtes le bienvenu si vous voulez venir avec nous,youre welcome to come with us if you want to,if you can to   me                                        
157743,ton père aurait été très fier de toi,your father would have been very proud of you,your father friends about                                           
157745,« pierre qui roule namasse pas mousse » est un proverbe,a rolling stone gathers no moss is a proverb,who is   a teacher                                         
157766,la silhouette dune jeune fille apparut sur le rideau,a silhouette of a girl appeared on the curtain,the city goes in all with                                         
157807,à la fin du discours elle répéta le mot,at the end of the speech she repeated the word,at i the when at   home                                       
157809,comme jétais pressé jai dû prendre un taxi,because i was in a hurry i had to take a taxi,at i just i  a  look                                       
157811,les livres sont à lesprit ce que la nourriture est au corps,books are to the mind what food is to the body,the is the only  is the                                        
157843,le maïs est une culture importante aux étatsunis damérique,corn is an important crop in the united states,the bike is to a                                          
157853,êtesvous allés quelque part pendant les vacances dété ,did you go anywhere during the summer vacation,did there for   tv                                         
157863,tu te rappelles ce que tom portait hier ,do you remember what tom was wearing yesterday,you  know tom                                           
157876,nhésite pas à me dire si tu as besoin de quelque chose,dont hesitate to tell me if you need anything,can tell  me tell  something                                        
157880,ne mets pas le verre au bord de la table,dont put the glass near the edge of the table,put about head the  same                                         
157881,ne lui confie pas autant dargent ,dont trust him with such a large sum of money,i much he                                            
157930,il a reconnu quil était impatient de senfuir dici,he admitted that he wanted to escape from here,he was very  the day                                         
157939,il se plaint de ne pas avoir suffisamment de temps pour lire,he complains of not having enough time to read,he is a good for  to us                                       
157948,il a donné une description détaillée de laccident,he gave a detailed description of the accident,he gave a new a school                                         
157953,il a eu le culot de prendre ma voiture sans me le demander,he had the nerve to take my car without asking,he has a of to of to made walked                                      
157971,il jeta un œil à lintérieur inquiet de ce quil trouverait,he peeked inside afraid of what he would find,he put a    the it                                       
157978,il a sauvé le chien au péril de sa vie,he rescued the dog at the risk of his own life,he caught the works about his  life                                       
157993,il fut traduit en cour martiale pour abandon de poste,he was courtmartialed for dereliction of duty,he was arrive by for the                                         
158004,il a emporté le premier prix du tournoi déchecs,he won the first prize at the chess tournament,he got all situation  the                                         
158019,son appareil photo est 3 fois plus cher que le mien,his camera is three times as expensive as mine,the girl is a than i                                         
158023,sa nièce est séduisante et mûre pour son âge,his niece is attractive and mature for her age,his tall is he patient went                                         
158056,je suis heureux que cette affaire se soit réglée à lamiable,i am glad that the matter was settled amicably,i to the is                                           
158094,je ne peux pas vous dire exactement combien de temps cela prendra,i cant tell you exactly how long it will take,i do you it without that                                         
158104,jignorais que quelque chose comme ça pouvait arriver,i didnt know something like this could happen,this it  that could be                                         
158118,je nai pas assez dargent pour acheter un nouveau vélo,i dont have enough money to buy a new bicycle,i bought a eye for a                                         
158132,je ne pense pas que tom ait autant de patience que moi,i dont think tom has as much patience as i do,i think tom is can i me                                        
158160,je dus boire le café à petites gorgées parce quil était trop chaud,i had to sip the coffee because it was too hot,i watch only because for be                                         
158164,jai le sentiment de lavoir déjà rencontrée quelque part,i have a feeling ive met her somewhere before,reading seen must to  leave                                         
158174,jai le sentiment que mon français saméliore,i have the feeling that my french is improving,i like  my to me                                         
158197,je pense simplement que vous devriez être prudente cest tout,i just think you should be careful thats all,i think you were to married                                         
158207,je sais que je ne suis pas la fille la plus brillante au monde,i know im not the brightest girl in the world,i am it the world the                                         
158247,je devrais appeler la police et te faire arrêter,i should call the police and have you arrested,i will and i  the for                                        
158261,je suppose que cest là la raison pour laquelle tu ne mapprécies pas tant que ça,i suppose thats why you dont like me so much,i hate that when it this                                         
158291,je veux massurer que rien narrivera à tom,i want to make sure nothing will happen to tom,i want to  tom                                          
158294,je veux que vous y fassiez quelque chose surlechamp,i want you to do something about it right away,i want to  something                                          
158309,jai été piqué par un grand nombre dinsectes dans la forêt,i was bitten by a lot of insects in the forest,i was surprised in  the                                         
158365,je suis plutôt sûr que tom est déjà allé à la maison,im pretty sure that tom has already gone home,happy tom when about home                                          
158368,je suis désolé dêtre une telle déception pour toi,im sorry im such a big disappointment to you,i  for  you                                          
158407,si elle sétait mariée avec toi elle serait heureuse maintenant,if she had married you she would be happy now,if only were be   happy                                        
158441,il ma semblé être très intelligent,it appeared to me that he was very intelligent,he was a lot he be very                                        
158444,ça a toujours été un plaisir de travailler avec toi,it has always been a pleasure to work with you,it a  seeing with                                          
158445,cela a toujours été un plaisir de travailler avec vous,it has always been a pleasure to work with you,that a  nice with                                          
158449,il mest impossible de répondre à cette question,it is impossible for me to answer the question,it answer   question                                          
158459,ça ne fait aucune différence quil vienne ou pas,it makes no difference whether he comes or not,it was not it                                           
158469,ce fut lune des pires expériences de ma vie,it was one of the worst experiences of my life,it was in proudest my  life                                        
158471,cétait un discours si ennuyeux que je me suis endormi,it was such a boring speech that i fell asleep,a english more that was                                          
158511,rencontronsnous à michemin entre ta maison et la mienne,lets meet halfway between your house and mine,at home the home went you                                         
158538,ma maman et mon papa maimeront quoi quil advienne,my mommy and daddy will love me no matter what,my mother is to and  my                                        
158567,notre école est de lautre côté de la gare,our school is on the other side of the station,our school is out school on                                         
158571,il faut que les parents établissent les règles domestiques,parents need to set the rules around the house,you need to change of the door                                        
158573,peutêtre auriezvous préféré un plat français,perhaps you would have preferred a french dish,another of nice french                                           
158593,elle lui a conseillé de prendre davantage soin de luimême,she advised him to take better care of himself,she advised him to marry a money                                        
158610,elle ne voulait pas quil sorte avec dautres femmes,she didnt want him to go out with other women,she want to  with  me                                        
158619,elle a lintention de prendre part à un concours de beauté,she intends to participate in a beauty contest,she bought a  of                                          
158658,elle est allée en réhabilitation et sen est sortie,she went to rehab and straightened herself out,she and  is                                           
158669,un jour elle devra payer pour ce quelle a fait,someday shell have to pay for what shes done,it was a lot me to  me                                       
158695,cest insensé seul un idiot croirait cela,that is insane only a fool would believe that,it is a easy for to                                         
158699,cet étudiant leva la main pour poser une question,that student raised his hand to ask a question,the child will for  to another                                        
158706,la croixrouge distribua des vivres aux réfugiés,the red cross distributed food to the refugees,the police was down the                                          
158712,les forces armées occupèrent l’entièreté du territoire,the armed forces occupied the entire territory,the troops at  of                                          
158720,le capitaine donna lordre dabandonner le navire,the captain gave the order to abandon the ship,the sun turned to the                                          
158729,les principaux produits du pays sont le cacao et lor,the countrys main products are cocoa and gold,the lights are just to those                                         
158743,le sol état couvert de givre ce matin,the ground was covered with frost this morning,the boy will worse to the monday                                        
158757,le film est projeté en ce moment au cinéma près de chez toi,the movie is now showing at a theater near you,the house is out to  house                                        
158763,la seule chose que jaie envie de faire pour le moment cest dormir,the only thing i want to do right now is sleep,i have of only to faster sleep                                        
158779,les récentes avancées de la médecine sont remarquables,the recent advances in medicine are remarkable,the are  of  field                                         
158783,la phrase ne contient pas de faute de grammaire,the sentence is free from grammatical mistakes,the going not to forward                                          
158796,les trois garçons disposaient entre eux de seulement deux dollars,the three boys had only two dollars among them,the students ten three at                                          
158829,il y avait six personnes au concert de la semaine dernière,there were six people at the concert last week,he was there hours last week                                         
158845,ils nous virent alors quils étaient en train de descendre du train,they saw us as they were getting off the train,they gave us about anything                                          
158923,tom na jamais vécu ailleurs quà boston,tom has never lived anywhere other than boston,tom never   boston                                          
158928,tom restera là le plus longtemps possible,tom is going to stay there as long as possible,tom could be arriving longer                                          
158942,tom a convaincu marie daller à la fête avec lui,tom persuaded mary to go to the party with him,tom promised mary with                                           
158952,tom a dit à mary que leur relation était terminée,tom told mary that their relationship was over,tom said mary thought was                                          
158953,tom ma dit que jétais celui à qui il voulait parler,tom told me i was the one he wanted to talk to,tom told me wants wanted   him                                       
158975,nous ne sommes pas trop jeunes pour dire à quoi lamour ressemble,we are not too young to tell what love is like,well be young to as to                                         
159004,nous naurons probablement plus besoin daller à boston,we probably wont have to go to boston anymore,we need to learn in                                          
159014,nous lavons traité de la façon la plus polie possible,we treated him in the politest manner possible,we six to it as to harder                                        
159019,nous ne pourrons pas échapper à la sanction cette foisci,we wont be able to evade punishment this time,we cannot not answer thing                                          
159036,nous essayons davoir une conversation sérieuse là,were trying to have a serious discussion here,were doing a safe                                           
159039,cela fait presque trois ans que nous sommes ensemble,weve now been together for nearly three years,it old were  over                                          
159044,que veut faire ton fils quand il sera grand ,what does your son want to be when he grows up,how is it is  be very                                        
159048,questce qui vous a fait changer davis tout à coup ,what made you change your mind all of a sudden,who you  who against                                          
159057,questce qui vous a décidé à travailler pour notre société ,whats made you decide to work for our company,who went to one to play                                         
159062,lorsque je suis rentrée chez moi jai pris une bonne douche glacée,when i got home i had a nice icecold shower,surprised a   was                                          
159066,lorsquil acheva de parler tout le monde était silencieux,when he finished speaking everyone was silent,i all everything to                                           
159092,pourquoi ne me distu pas ce qui sest passé la nuit dernière ,why dont you tell me what happened last night,i come last night                                           
159122,on ne peut avoir darcenciel sans un peu de pluie,you cant have a rainbow without a little rain,you cut a stranger without                                          
159124,tu ne sembles pas beaucoup avoir apprécié le concert,you didnt seem to enjoy the concert very much,you seem very attention that                                          
159143,tu dois faire attention lorsque tu parles à un européen,you must be careful when talking to a european,you must to more to for more thing                                       
159150,vous devriez prévoir une heure pour atteindre laéroport,you should allow an hour to get to the airport,you may some for a japanese                                         
159151,tu devrais compter une heure pour atteindre laéroport,you should allow an hour to get to the airport,you should some a                                           
159169,tu vas le casser si tu ne fais pas attention,youre going to break it if youre not careful,you be stupid                                            
159181,vous êtes la plus belle femme que jaie jamais vu,youre the most beautiful woman ive ever seen,the are the free usual                                          
159218,une belle journée nestce pas  pourquoi ne pas sortir faire une balade ,a nice day isnt it why not go out for a walk,why you give to  a  minute                                       
159234,tous les enfants sendormirent avant quil fasse noir,all the children fell asleep before it got dark,all we to   same                                         
159251,daprès ce que je sais thomas na pas de copine,as far as i know tom doesnt have a girlfriend,maybe tom  is was                                          
159307,pourriezvous je vous prie mindiquer votre taille et votre poids ,could you please tell me your height and weight,please close out two for past                                         
159313,avezvous choisi un livre intéressant pour votre fils ,did you choose an interesting book for your son,i was a for                                           
159315,estu directement rentrée chez toi hier après lécole ,did you go straight home after school yesterday,i come at after                                           
159348,ne pensez pas que je ne sois pas reconnaissante de ce que vous avez fait ,dont think i dont appreciate what youve done,you understand what i                                           
159349,ne pense pas que je ne sois pas reconnaissant de ce que tu as fait ,dont think i dont appreciate what youve done,i think i did you                                          
159375,loin dêtre satisfait mon père est très en colère,far from being pleased my father is very angry,some warm is very  me                                         
159381,pour un remboursement vous devez retourner larticle dans son emballage non ouvert,for a refund you must return the item unopened,at number for    to                                        
159416,il laisse toujours la fenêtre ouverte lorsquil dort,he always leaves the window open when he sleeps,tom is always                                            
159439,il est financièrement à l’aise et ne se soucie donc pas d’argent,he is well off so he doesnt worry about money,he is hard to past arrived                                         
159443,il sest retourné plusieurs fois pour nous regarder et il sest éloigné,he looked back at us many times and walked away,he is the for  up                                         
159444,il tient pour principe de ne jamais parler des autres en mal,he makes it a rule never to speak ill of others,he was a tendency to for to                                        
159450,il écrit absolument tous les mois à sa mère,he never fails to write to his mother every day,he lives afraid with  his                                         
159459,il fume comme un pompier et boit comme une outre,he smokes like a chimney and drinks like a fish,he treats me and a                                          
159477,il reviendra au japon au milieu du mois de mai,he will come back to japan in the middle of may,it must a village to the by                                        
159479,il a travaillé dur afin de réussir lexamen,he worked hard in order to pass the examination,he did the money for you                                         
159487,ici chacun se sent respecté et aimé,here everybody feels respected and appreciated,its a door for and                                          
159513,depuis combien dannées ne vous aije pas vue ,how many years has it been since i last saw you,how often shall you not you                                         
159522,jai prévu pour toi une voiture qui vient te chercher à laéroport,i arranged for a car to meet you at the airport,i was a  to  for                                        
159525,je tassure quil sagit de bien plus que dargent,i assure you this is about much more than money,i was no than                                           
159530,je ne comprends pas pourquoi il na pas dit la vérité,i cant figure out why he didnt tell the truth,i understand how not all truth                                         
159538,je ne sais pas te dire pourquoi elle était absente de lécole,i cant tell you why she was absent from school,i know where was  i                                         
159575,je ne sais pas vraiment de quelle autre façon je peux expliquer ça,i dont really know how else i can explain that,i really who about that                                          
159593,je trouve quil est difficile de se lever par les matins froids,i find it hard to get up early on cold mornings,i quit to by at my                                         
159598,je sors faire une promenade tous les jours sauf quand il pleut,i go for a walk every day except when it rains,i often out because to was i                                        
159602,javais un peu de temps de libre alors jai flâné autour de la ville,i had some free time so i wandered around town,a good a close to  in                                        
159606,jai dû étudier le français quand jétais au lycée,i had to study french when i was in high school,i had to high come it                                         
159632,je connais un professeur danglais qui vient du canada,i know an english teacher who comes from canada,i know that a                                           
159669,je ne me suis toujours pas remis de ce qui mest arrivé,i still havent gotten over what happened to me,i almost with either did                                          
159681,je pense quil était normal quelle refuse son offre,i think it natural for her to decline his offer,i think the is                                           
159683,je pense quil est temps que jachète un appareil photo digne de ce nom,i think its time for me to buy a decent camera,i think its is a                                          
159723,je veux que tu ailles dans ta chambre et que tu verrouilles la porte,i want you to go to your room and lock the door,i want you to  the door                                        
159736,jai été surpris par la nouvelle de son décès soudain,i was surprised at the news of his sudden death,she was part to  the                                         
159740,jirai à pied ou en vélo la prochaine fois,i will go there on foot or by bicycle next time,i you bus to or to                                         
159775,je crains que même vos amis ne puissent désormais vous sauver,im afraid even your friends cant save you now,just stay here you  just are                                        
159786,je suis heureux davoir un ami comme vous à qui me confier,im glad i have a friend like you to confide in,glad about when that it mary                                         
159801,je suis désolé de ne pouvoir être celui que tu voudrais que je sois,im sorry that i cant be who you want me to be,i be to  be to                                         
159808,jai toujours voulu rencontrer ton petit frère,ive always wanted to meet your younger brother,id like something to with your friend                                        
159813,je cherche un nouveau poste depuis longtemps,ive been looking for a new job for a long time,been seen for  a long                                         
159822,je ne suis jamais allée à un match de baseball professionnel,ive never been to a professional baseball game,i seen to a easily                                          
159825,jai sousestimé la force de mon adversaire,ive underestimated the strength of my opponent,the is finally my                                           
159845,si vous voulez mon avis cest une totale perte de temps,if you ask me this is a complete waste of time,let i want to ask a little                                        
159848,si tu ne veux pas en parler ce nest pas grave,if you dont want to talk about it thats okay,if i want that it                                          
159876,merci dêtre venus spécialement pour maider,it is kind of you go out of your way to help me,thank you for  the                                          
159878,il faut que vous vous y rendiez immédiatement,it is necessary for you to go there immediately,i need to go to leave                                         
159899,maccoutumer au bruit ma pris beaucoup de temps,it took me a long time to get used to the noise,i  for time of                                          
159914,cela ne devrait pas être la première fois que cela arrive,it wouldnt be the first time that has happened,that change of to                                           
159919,ça fait longtemps que je nai pas parlé français,its been a long time since i last spoke french,that kind a as  i                                         
159930,il mest difficile dexprimer des idées par des mots,its hard for me to express ideas through words,he is from  trees                                          
159949,comparons la traduction à loriginal,lets compare the translation with the original,i wrote the newspaper to                                          
159955,ne parlons pas de ça devant les enfants,lets not discuss this in front of the children,keep your out after                                           
159965,de nombreux étasuniens protestèrent contre lacquisition de lalaska,many americans protested the purchase of alaska,many ideas were to  the                                         
159988,mon chef a rejeté le budget pour le nouveau projet,my boss rejected the budget for the new project,my mother made a  taxi a                                        
159997,ma mère était à lhôpital pendant lété,my mother was in the hospital during the summer,my car was me to me                                         
160022,les gens pourront penser que tu es stupide si tu fais ça,people might think youre stupid if you do that,two three the when  it do                                        
160072,elle lécoute alors que personne dautre ne le fait,she listens to him even though no one else does,she no handle than did                                          
160104,comme il fait beau dehors jaimerais aller faire une promenade,since its nice out id like to go take a walk,i  for to for   walk                                       
160133,ce fut lune des plus grosses erreurs de ma vie,that was one of the biggest mistakes in my life,it was very proudest my all life                                        
160150,le bus vous amène dans le centreville,the bus will take you to the center of the city,the   on the                                          
160161,linnocence de laccusé na pas pu être vérifiée,the defendants innocence could not be verified,i like to be                                           
160165,le médecin a administré des médicaments au patient,the doctor administered medicine to the patient,the people is known to  the storm                                       
160198,la vieille dame monta les escaliers avec difficulté,the old lady climbed the stairs with difficulty,the best is out to                                          
160200,plus nous vieillissons plus notre mémoire saffaiblit,the older we get the weaker our memory becomes,nothing got many a of                                          
160221,les soldats sur les bateaux feraient des cibles faciles,the soldiers on the boats would be easy targets,the love  at of the                                         
160233,le cambrioleur fut envoyé à la préfecture de police,the thief was marched off to the police station,the train was pieces to                                          
160234,les trois garçons ouvrèrent les portes du bâtiment,the three boys opened the doors of the building,the are at in the of                                         
160248,il y a des gens qui pensent que cest une mauvaise idée,there are some people who think its a bad idea,it is a for this such                                         
160258,il y a beaucoup de vent ce matin nestce pas ,theres a lot of wind this morning isnt there,a lot  of                                           
160274,ils veulent quelques heures de plus pour finir le rapport,they want a few more hours to finish the report,i must to  me                                          
160280,cette voiture est à mon père mais ce sera bientôt la mienne,this car is my fathers but itll soon be mine,the box is to                                           
160346,tom savait que mary comprenait ce quils avaient besoin de faire,tom knew mary understood what they needed to do,tom was what  had  do                                        
160371,tom comprend le français mieux quil ne le parle,tom understands french better than he speaks it,tom began mary anyone                                           
160386,la maison de tom se trouve à seulement trois pâtés de maisons dici,toms house is only three blocks away from here,tom is with the help                                          
160393,essayer de trouver le bonheur ne fait que vous rendre malheureux,trying to find happiness only makes you unhappy,id  i id  i                                         
160403,nous avons une fille mariée à un canadien,we have a daughter who is married to a canadian,we sent a deal of                                          
160406,nous navons dautre choix que dabandonner le projet dans son entier,we have no choice but to give up the whole plan,we got a best in  tree                                        
160423,nous avions lhabitude daller au cinéma le samedi soir,we used to go to the movies on saturday evening,we looked into the  morning                                         
160454,quel est le travail le plus intéressant que vous ayez jamais eu ,whats the most interesting job youve ever had,the people is people  you                                         
160458,lorsque jétais petit jallais nager dans létang,when i was a child i used to swim in that pond,what soon were the were you prison                                        
160473,qui est cette mignonne fille avec laquelle je tai vu à la galerie commerciale ,whos that cute girl i saw you with at the mall,who is  to with                                          
160498,pourquoi ne me ditesvous pas comment vous pensez que ça a eu lieu ,why dont you tell me how you think it happened,why you be                                            
