,Spanish text, Expected text,Predicted text
97909,¿quién es el hombre que estaba hablando con vos,who is the man who was talking with you,who is the when to i for   somebody                                     
97928,¿por qué no quieres decirnos la verdad,why dont you want to tell us the truth,why you want to   the truth                                       
97943,sin tu ayuda yo me hubiera ahogado,without your help i would have drowned,your   i your                                          
97962,¿quieres dar un paseo,wouldnt you like to get some fresh air,do you want to get a                                         
97980,con un telescopio se pueden ver las estrellas,you can see the stars using a telescope,we will have at  the nine                                        
97987,no se puede tocar las campanas y andar en la procesión,you cant have your cake and eat it too,you are or and  return                                         
97997,no hace falta que vengas a trabajar el sábado,you dont need to come to work saturday,walk the next moon rain the                                         
98004,tienes que juzgar el caso siendo imparcial,you have to judge the case without bias,you to    attentive                                         
98006,mencionaste algo sobre mi madre,you mentioned something about my mother,you  mother my  mother                                         
98032,no deberías dejarlos esperando tanto tiempo,you shouldnt keep them waiting so long,you going ready to  time                                         
98047,tu nuevo vestido realmente se te ve bien,your new dress really looks good on you,your coffee well                                            
98056,¿ella tiene perro no,does she have a dog no she doesnt,can you use my noise                                          
98061,¿dónde está su libro está sobre la mesa,where is her book its on the table,the table in  the                                          
98065,una pulga puede saltar doscientas veces su propio tamaño,a flea can jump 200 times its own height,he curtain and been its to the water                                       
98069,hace mucho tiempo había aquí un puente,a long time ago there was a bridge here,it is books to  a                                         
98077,un equipo de futbol consta de once jugadores,a soccer team consists of eleven players,a new man been with  earned                                        
98086,después de una larga discusión finalmente cedí,after a long argument i finally gave in,we are in   studying                                         
98089,después de la tormenta el mar retomó la calma,after the storm the sea was quiet again,after the  snow                                           
98091,tras la discusión ella le dejó,after their quarrel she called it quits,i introduced back her                                           
98109,cualquier reloj valdrá en tanto que sea barato,any watch will do as long as it is cheap,in trying will to  telling regret                                        
98111,todo lo que diga puede ser usado en su contra,anything you say can be used against you,all one us to be  the mad                                       
98118,¿la vas a invitar a ella a la fiesta,are you going to invite her to the party,do it go to  the  party                                       
98119,¿estás de broma o en serio,are you kidding or are you being serious,are you or  you or                                         
98120,¿quieres decir que yo no tengo cerebro,are you saying that i dont have a brain,do you want to  so  cash                                       
98123,¿estas seguro que no quieres otra soda,are you sure you dont want another soda,not more to   make here                                        
98130,lo que es yo no tengo ninguna queja,as for me i have nothing to complain of,not have as have  out                                         
98135,al principio te confundí con tu hermano,at first i mistook you for your brother,well next will to your  brother                                        
98147,brasil le declaró la guerra a argentina en 1825,brazil declared war on argentina in 1825,i eat to the to  the                                        
98149,buenos aires es la capital de argentina,buenos aires is the capital of argentina,what is language full                                           
98157,¿puedes identificar al hombre en esta foto,can you identify the man in this picture,can you through by picture of                                         
98163,¿podría decirme cómo lleno este formulario,can you tell me how to fill in this form,could you think how the or box                                        
98166,es probable que llegue tarde al trabajo,chances are that i will be late for work,its is going is                                           
98178,¿podrías esperar hasta que termine,could you please wait until im finished,could you wait up on salt                                         
98181,darwin desarrolló la teoría de la evolución,darwin developed the evolutionary theory,we broke the empty on the                                         
98188,¿oíste de la pelea de tom con mary,did you hear about toms fight with mary,did you hear to store to                                         
98194,¿leíste el libro que ganó el premio,did you read the book that won the prize,did him coat  he                                          
98234,¿crees que tom podrá ayudarnos,do you think tom will be able to help us,do you know tom to  me                                        
98236,¿querés seguir viviendo así,do you want to continue living like this,do you want to go to                                         
98253,no te preocupes por el resultado del examen,dont worry about the result of the test,make the                                             
98271,la familiaridad engendra desprecio y niños,familiarity breeds contempt and children,the rumor flowers and                                           
98284,el alemán es la mejor lengua del mundo,german is the best language in the world,cats the  food to                                          
98300,compró un libro de inglés en una librería,he bought an english book at a bookstore,he bought a good books of hotel station                                       
98313,él descubrió que había cometido un error,he discovered that he had made a mistake,he has be as a                                          
98330,se lleva muy bien con sus amigos,he gets along very well with his friends,he does very with    much                                       
98352,él está feliz de que a su hijo le gusten los libros,he is glad about his sons love of books,he is always as his   her                                       
98355,él está muy orgulloso de sus habilidades como piloto,he is very proud of his skill as a pilot,he is very   she                                         
98369,él se opone a ser tratado como un niño,he objects to being treated like a child,he is twice as  to  a                                       
98378,él me recordó que no olvidara mi pasaporte,he reminded me not to forget my passport,he showed me to  my                                         
98386,él raras veces o nunca va al barbero,he seldom if ever goes to the barbers,he will or sooner to  the                                        
98398,él me dijo que el libro era interesante,he told me that the book was interesting,he told him that was  best                                        
98411,él estaba buscando algo en la oscuridad,he was looking for something in the dark,he was standing in the radio                                         
98416,no llevaba nada puesto excepto su ropa interior,he was wearing nothing but his underwear,i does standing to his                                          
98422,él trabajaba duro para mantener a su familia,he worked hard to provide for his family,he refused to   his                                         
98425,tarde o temprano el será un buen abogado,hell make a good lawyer sooner or later,take   to take  in                                        
98453,su abuelo murió de cáncer el año pasado,his grandfather died of cancer last year,our broke died when last year                                         
98457,su pesimismo deprimió a la gente a su alrededor,his pessimism depressed those around him,his family us  to us                                         
98459,su discurso fue apropiado para la ocasión,his speech was suitable for the occasion,her son was built to the truck                                        
98466,¿cómo aprendiste a tocar el violín,how did you learn how to play the violin,how do you get the best number                                        
98486,¿con cuánta comida debería estar alimentando a mi perro,how much food should i be feeding my dog,how do you get to my   car                                      
98488,¿cuánto me cobrará usted por el traje,how much will you charge me for the suit,how long have it been of                                         
98489,¿con qué frecuencia te gusta ir a la playa,how often do you like to go to the beach,how do you get to police the                                        
98496,siempre acudo a él cuando tengo problemas,i always rely on him in times of trouble,he always tired to  he to die                                       
98505,no estoy satisfecho con su explicación,i am not satisfied with your explanation,i because  to that woman                                         
98506,lamento haberte impuesto tanto,i am sorry i have imposed so much on you,sorry  you                                            
98518,supongo que sabes arreglar el problema,i assume you know how to fix the problem,i know you could the                                          
98527,vine pronto para coger un buen sitio,i came early in order to get a good seat,i have to   a   week                                      
98532,puedo hablar chino pero no puedo leerlo,i can speak chinese but i cant read it,i can get but to i  trying                                       
98550,no puedo recordar la melodía de esa canción,i cant remember the melody to that song,i remember the tune with that                                         
98553,no soporto que se rían de mí en público,i cant stand being laughed at in public,i let him in                                           
98556,no se me ocurre una forma mejor de hacerlo,i cant think of a better way to do that,i have not of  to  that                                       
98564,no pude ir a trabajar porque estaba enfermo,i couldnt go to work because i was sick,i get then when i  was                                        
98566,no podía prever este evento,i couldnt have predicted this happening,i stand this box off                                          
98577,no te creo siempre estás mintiendo,i dont believe you youre always lying,i believe so about with                                          
98614,no creo que llueva mañana,i dont think that it will rain tomorrow,i think its rain                                           
98619,no quiero dimitir de mi trabajo de momento,i dont want to resign my job at present,i want the best to in day                                        
98621,no quiero que le cuentes esto a nadie,i dont want you to tell this to anybody,i want you to tell someone                                         
98623,todavía no sé qué haremos el lunes,i dont yet know what well do on monday,i know  tom will be back monday                                       
98632,al fin conseguí el libro que quería,i finally got hold of that book i wanted,i finally the  bed thought                                         
98653,tengo algunas cosas que quiero aclarar,i have a few things i want to make clear,i have like some to   means                                       
98668,tengo tres primos de lado materno,i have three cousins on my mothers side,i have a cat in  head                                        
98686,espero que mi error le pase desapercibido,i hope my mistake will escape his notice,we just  to be restaurant  nice                                       
98692,acabo de oír al respecto hace treinta minutos,i just heard about it thirty minutes ago,i just  you have 30 minutes                                        
98696,sé que estuvo mal pero lo hice de todas formas,i knew it was wrong but i did it anyway,i know why i was                                          
98729,a menudo jugaba al béisbol cuando era joven,i often played baseball when i was young,i was person when  i was young                                       
98730,me pongo gafas de sol a menudo cuando conduzco,i often wear sunglasses when im driving,i died my when i to years                                        
98732,solo como vegetales que cultivo yo mismo,i only eat vegetables that i grow myself,better we only time  were be                                        
98734,le convencí de aceptar la oferta,i persuaded him into accepting the offer,i gave him into the light                                         
98740,yo me topé con un viejo amigo cerca del banco,i ran across an old friend near the bank,i live in on   house                                        
98771,creo que me gustaría visitar boston algún día,i think id like to visit boston someday,id do you show to  for day                                       
98773,creo que en realidad no se me da tan bien el francés,i think im really not so good at french,i think french of in well                                         
98782,creo que tom y mary están en problemas,i think that tom and mary are in trouble,i think tom is in                                          
98784,creo que el tren llegará aquí pronto,i think that the train will be here soon,i do the will the soon                                         
98798,pensaba que sólo los japoneses eran adictos al trabajo,i thought only japanese were workaholics,i thought  i we work                                         
98801,pensé que íbamos a jugar béisbol,i thought we were going to play baseball,i thought you heard cook truth                                         
98809,le dije lo que él estaba haciendo en su pieza,i told her what he was doing in her room,he asked him to  was the                                        
98819,usualmente me baño antes del desayuno,i usually take a shower before breakfast,we catch reading the sisters                                          
98842,estaba a punto de irme cuando llamaste por teléfono,i was about to leave when you telephoned,i was when to   the of                                       
98866,voy a revisar a que hora llega el tren,i will check what time the train arrives,going go to go  the  bus                                       
98869,si hace buen tiempo voy,i will go provided the weather is clear,if you rains enough were to                                         
98879,me pregunto si tom se dará cuenta de cuán solo estoy,i wonder if tom realizes how lonely i am,i wonder why i is happening                                         
98883,ayer estuve trabajando más de ocho horas,i worked more than eight hours yesterday,i am longer bed in the hours                                        
98897,los llamaré cuando regrese mañana,ill call them tomorrow when i come back,ill call when as for                                          
98922,estoy casi listo con mi tarea,im just about finished with my homework,almost to my                                            
98931,no estoy contento de cómo salieron las cosas,im not happy with how things turned out,not to time to i possible                                         
98941,lamento no haber podido escribirte antes,im sorry i couldnt write to you sooner,i have as even i die                                         
98962,tengo algo más que quiero que hagas,ive got something else i want you to do,i just like to talk you talk                                        
98976,si yo fuera tú no habría hecho eso,if i were you i wouldnt have done that,if you done if i    you                                      
98995,¿es más divertido ser un niño o un adulto,is it more fun being a child or an adult,is that a or    success                                       
99007,han pasado diez años desde que salí de japón,it has been ten years since i left japan,it had time two  a  year                                       
99040,ya era tarde así que volví a casa,it was already late so i went back home,it was nothing i he  was home                                       
99043,era claro que sería así,it was obvious that it would be this way,it was while to i do                                         
99057,es absurdo no admitir tus errores,its absurd never to admit your mistakes,its is be your  inside                                         
99064,está en el primer piso de aquel edificio,its on the first floor of that building,in is the   in phone                                        
99114,¿me puede dar un par de sándwiches de queso,may i have a couple of cheese sandwiches,can you borrow a  aid                                         
99129,mi hermano insistió en ir allí solo,my brother insisted on going there alone,my town goes at  by time                                        
99130,mi hermano es lo suficientemente mayor como para viajar solo,my brother is big enough to travel alone,my older is enough  to                                         
99187,uno es japonés y el otro es italiano,one is japanese and the other is italian,is  of and is                                          
99199,nuestro profesor nos separó en dos grupos,our teacher separated us into two groups,our team our there to                                          
99203,las personas deberían ser honestas las unas con las otras,people should be honest with one another,you will  sooner to  the rest                                       
99204,quizás ella no se acuerda de mi cumpleaños,perhaps she doesnt remember my birthday,leave it mother my                                           
99210,por favor no me escribas cartas nunca más,please dont write letters to me anymore,please take or to                                           
99221,la neumonía causa dificultades respiratorias,pneumonia causes difficulty in breathing,the sky is  in monkeys                                         
99228,se pueden ver reflejos en los charcos,reflections could be seen in the puddles,you can put on the                                          
99233,el cole empieza a las nueve y acaba a las seis,school begins at nine and is over at six,the dog and  the  sea                                        
99245,al año siguiente ella se hizo actriz,she became an actress the following year,the king at    fell                                        
99285,ella me dejó parado ahí por dos horas,she left me standing there for two hours,she arrived back to hours                                          
99302,ella lo sorprendió al llegar temprano,she surprised him when she arrived early,she got him last next                                          
99303,ella participa en muchas actividades escolares,she takes part in many school activities,she lived a  deep of                                         
99305,ella enseña inglés a estudiantes avanzados,she teaches english to advanced students,she teaches english to every dinner                                         
99317,ella estaba ojeando aquel precioso anillo de la chica,she was eyeing the girls beautiful ring,she was standing to in the arms                                        
99326,ella le escribe a su hijo de vez en cuando,she writes to her son every now and then,she but at to some in recently                                        
99339,no se permite fumar en este restaurante,smoking isnt allowed in this restaurant,use to take this                                           
99345,alguien rompió el candado y robó mi bicicleta,someone broke the lock and stole my bike,they broke opened to helped to                                         
99360,los estereotipos son confusos y engañosos,stereotypes are confusing and misleading,the are  and                                           
99367,repentinamente un hombre se puso frente a ellos,suddenly a man stepped in front of them,we was a look to the                                         
99371,ten cuidado de no despertar a la bebé,take care not to awake the sleeping baby,be out to  the  classroom                                        
99381,aquel barco naufragó en las costas de chile,that boat wrecked off the coast of chile,the ship in   the                                         
99392,el tifón me impidió salir,that typhoon prevented me from going out,the prevented  me to                                          
99402,el mando a distancia de la televisión está debajo del sofá,the tv remote control is under the couch,the of  out the  men                                        
99424,el acto tuvo lugar por la tarde,the ceremony took place in the afternoon,the house began to water the afternoon                                        
99427,la ciudad fue abandonada por los ciudadanos,the city was deserted by its inhabitants,the town was destroyed by  switch                                        
99441,la tierra es pequeña comparada con el sol,the earth is small compared with the sun,the is  a  disease                                         
99442,la tierra es pequeña si la comparamos con el sol,the earth is small compared with the sun,this is heart to  a voice                                        
99452,el juego fue cancelado en el último minuto,the game was canceled at the last minute,the game stopped playing by the                                         
99457,la chica lee con su abuelo,the girl is reading with her grandfather,the girl reads to  her                                         
99465,el helicóptero se puso sobre el edificio,the helicopter hovered over the building,the horse in the                                           
99484,la reunión se prolongó hasta bien entrada la noche,the meeting extended well into the night,the problem often to  by fun                                        
99486,esta noche la luna está excepcionalmente bella,the moon is exceptionally pretty tonight,this box painted this  green                                         
99494,el anciano se detuvo un momento para descansar,the old man stopped for a moment to rest,the old is out a                                          
99495,el hombre mayor no era tan pesado como aparentaba,the old man was not as mean as he looked,the man   when as fell                                        
99499,la fiesta estaba en pleno apogeo cuando él se marchó,the party was in full swing when he left,the will born died when  died                                        
99518,la lluvia golpeaba contra las ventanas,the rain was beating against the windows,the rain start out through the garden                                        
99558,la cima del monte fuji está cubierta de nieve,the top of mt fuji is covered with snow,the leaves  of  countries                                         
99567,el hombre del clima pronosticó nieve para esta noche,the weatherman predicts snow for tonight,the mayor of off by the end                                        
99582,en londres hay muchos parques bonitos,there are many beautiful parks in london,there are many books in the                                         
99621,hay mucha competencia en el comercio,theres a lot of competition in business,there are many in  the                                         
99634,estas fotos son realmente bonitas,these pictures are really very beautiful,these animals are                                            
99652,ellos bromearon sobre algunas de sus películas,they told jokes about some of his movies,they talked on in  agreement                                         
99672,esta flor despide un fuerte aroma,this flower gives off a strong fragrance,a hole tooth an unpleasant disease                                         
99697,este tren recorre entre tokio y hanata,this train runs between tokyo and hakata,this is off over to  5                                        
99709,para empeorar las cosas su esposa se enfermó,to make matters worse his wife fell ill,to put matters to  fell                                         
99726,tom y mary todavía están jugando a pimpón,tom and mary are still playing ping pong,tom and mary are playing the                                         
99745,tom te culpa por la muerte de su esposa,tom blames you for the death of his wife,tom has his                                            
99771,tom no pudo responder todas las preguntas,tom couldnt answer all of the questions,tom speak off movies the                                          
99777,tom no pudo expresar sus sentimientos con palabras,tom couldnt put his feelings into words,tom write with his with him                                         
99807,tom no tiene tiempo para conversar contigo ahora,tom doesnt have time to talk to you now,tom will to                                            
99820,a tom no le gusta ver películas violentas,tom doesnt like watching violent movies,tom like to dance movies                                          
99823,tom no quiere que mary se emocione demasiado,tom doesnt want mary to get too excited,tom want mary to fix much                                         
99830,tom eventualmente encontró un trabajo que le agradó,tom eventually found a job that he liked,tom found a boy to job me                                        
99849,tom tuvo problemas decidiendo qué hacer después,tom had trouble deciding what to do next,tom had long enough to  thought                                        
99863,tom no ha terminado toda su tarea aún,tom hasnt finished all his homework yet,tom lied at his all                                          
99874,tom actualmente está trabajando en ese problema,tom is currently working on that problem,tom is himself in the                                          
99886,tom es quien enseñó francés a mary,tom is the person who taught mary french,tom is unable to mary                                          
99887,como a esta hora comúnmente tom está borracho,tom is usually drunk by this time of day,ill tom only part ill he or while                                       
99896,tom sabía dónde compró mary sus alimentos,tom knew where mary bought her groceries,tom knew where mary family the                                         
99898,tom sabe que pedí prestado el dinero a maría,tom knows i borrowed the money from mary,tom knows how to children joke                                         
99906,tom se dio cuenta de que mary lo estaba mirando,tom noticed that mary was staring at him,tom convinced mary  everything                                          
99907,tom a menudo olvida poner su direccional,tom often forgets to use his turn signal,tom often listen to  his                                         
99910,tom cogió ese hábito de su padre,tom picked up that habit from his father,tom helped his guy with his                                         
99923,tom dijo que mary iba a venir a cenar,tom said mary was coming over for dinner,tom asked mary to  up together                                        
99925,tom dijo que vio a mary montar en el coche de john,tom said he saw mary get into johns car,tom told mary to   song                                        
99930,tom dijo que no le gusta este color,tom said that he doesnt like this color,tom knows this a of                                          
99972,tom entiende lo que se requiere para sobrevivir,tom understands what it takes to survive,tom promised mary to                                           
99976,tom quería hacer algo lindo por maría,tom wanted to do something nice for mary,tom wanted to be some                                          
99978,tom quería sentarse por unos segundos,tom wanted to sit down for a few seconds,tom wanted to   a bombing                                        
99980,tom quiere que maría diga que lo necesita,tom wants mary to say that she needs him,tom wants mary to                                           
99996,tom fue la última persona en terminar de comer,tom was the last person to finish eating,tom was the  of on the station                                       
100001,tom fue de viaje en coche con sus amigos,tom went on a road trip with his friends,tom went in   his                                         
100008,tom matará a cualquiera que se ponga en su camino,tom will kill anyone who gets in his way,tom wondered going to speak in his                                        
100035,no queremos asustar a los niños,we dont want to scare the children away,we want to quit to                                          
100047,hemos abastecido a los aldeanos con comida,we have supplied the villagers with food,we eat to with your with                                         
100053,tenemos que adaptarnos a la dura realidad actual,we must adapt to todays harsh realities,we have to  its our                                         
100055,debemos prestar atención a la señales de tránsito,we must pay attention to traffic signals,we must to the  politics                                         
100068,debemos leer al menos un libro al mes,we should read one book a month at least,we have to  the   next                                       
100071,hablamos sin descanso hasta el amanecer,we talked and talked until the day broke,we went to chicago to at                                         
100096,¿qué vas a hacer con mi foto,what are you going to do with my picture,what are you going to my office                                        
100124,¿qué es lo peor que podría suceder,whats the worst thing that could happen,how oldest goes just goes                                          
100130,me sentía enfermo cuando desperté esta mañana,when i woke up this morning i felt sick,i felt this when   he                                        
100137,¿cuándo fue la última vez que jugasteis al fútbol,when was the last time you played soccer,when was the last time you introduce                                        
100143,¿cuándo fue la última vez que hiciste una fiesta,when was the last time you threw a party,when did you last time you time party                                       
100152,¿dónde sueles ir a que te corten el pelo,where do you usually go to get a haircut,where do you wash your my                                         
100155,¿qué color os gusta más el azul o el verde,which color do you prefer blue or green,which do you doing which the  truth                                       
100167,¿quién crees que podrá ayudarnos,who do you think will be able to help us,who you really think to  me                                        
100198,las mujeres no suelen querer hablar conmigo,women dont usually want to talk with me,not wanted him to talk to                                         
100221,no se puede separar la lengua y la cultura,you cant separate language from culture,they is language and                                           
100237,este trabajo hay que hacerlo con cabeza,you have to use your brains in this work,this is  to   and                                        
100251,debes vivir tu vida lo mejor que puedas,you must live your life the best you can,lets take only your book do your                                        
100261,deberías tener más cuidado la próxima vez,you should be more careful the next time,you should be in front fire                                         
100264,tenías que haber asistido a la reunión de hoy,you should have attended todays meeting,we had to kept at the truth                                        
100266,deberías practicar con el violín todos los días,you should practice the violin every day,you should go to the  days                                        
100283,te la pasas peleando con tu jefe,youre always disagreeing with your boss,ill village you the  your                                         
100305,¿dónde está tu casa está por allá,where is your house it is over there,your is your boston                                           
100306,¿dónde está vuestra casa por allá,where is your house it is over there,where is your you                                           
100314,un buen propósito hace al trabajo duro placentero,a good purpose makes hard work a pleasure,a new car very great  country                                        
100328,mantén siempre un pañuelo en tu bolsillo,always keep a handkerchief in your pocket,take your always in your                                          
100331,los estadounidenses ya no confían en toyota,americans have lost their trust in toyota,he sure not  but america                                         
100339,¿vas a participar en el concurso,are you going to take part in the contest,are you going in the  on                                        
100353,en cuanto me vio se puso a llorar,as soon as she saw me she started to cry,as will  i  tom  him                                       
100356,al principio él no me gustaba pero ahora sí,at first i did not like him but now i do,i but  i  yet                                         
100379,el cáncer puede ser curado si es descubierto a tiempo,cancer can be cured if discovered in time,all is as to                                           
100426,¿crees en el amor a primera vista,do you believe in love at the first sight,do you the  store to back                                        
100446,¿recuerdas la vez que fuimos a parís,do you remember the time we went to paris,do you still to the to often                                        
100459,que no te vuelva a oír decir eso,dont ever let me hear you say that again,not try to                                            
100478,incluso el caballo más rápido tiene cuatro patas,even the fastest horse only has four legs,take in only in                                           
100481,todo el mundo estaba reunido en el salón,everybody was gathered in the living room,she was ended in  area                                         
100482,todo el mundo quería ver lo que tom estaba haciendo,everyone wanted to see what tom was doing,tom wanted  to what was                                         
100487,los granjeros se la pasan quejando del clima,farmers always complain about the weather,the light went to the water                                         
100490,acaba los deberes antes de irte a la cama,finish your homework before you go to bed,he is just bed  to bed                                        
100495,se estaba escapando gas de una grieta en el tubo,gas was escaping from a crack in the pipe,he was blind to in by in                                        
100497,dame las llaves para que pueda abrir la puerta,give me the keys so i can unlock the door,give me the  to the  moon                                       
100512,se dirigió a su auditorio con una voz dulce,he addressed the audience in a soft voice,she put to knife her his pocket                                        
100521,él se puede quedar aquí por una noche no más,he can stay here for one night no longer,he can walk cannot more                                          
100529,no podía moverse y tuvo que pedir ayuda,he couldnt move and had to call for help,i give a money to he to                                        
100533,no hacía más que quejarse del trabajo,he did nothing but complain about his job,i do to nothing with job                                         
100542,donó innumerables piezas al museo,he donated countless pieces to the museum,they came of to  the window                                        
100554,él tiene un buen manejo en la lectura del francés,he has a good reading knowledge of french,he has a good of  life                                        
100573,a él le gusta estar rodeado de jóvenes,he likes being surrounded by young people,he likes having well sing                                          
100590,él parece haber estado enfermo por mucho tiempo,he seems to have been ill for a long time,he was a enough to  a the                                       
100603,él giró el pomo de la puerta con su mano izquierda,he turned the doorknob with his left hand,he broke the hand with his hand                                        
100605,él era un abogado y político muy inteligente,he was a very smart lawyer and politician,he is a and    three                                       
100611,él estaba leyendo el periódico en pijama,he was reading a newspaper in his pajamas,he was reading in his                                          
100617,él fue el líder de la gran expedición,he was the leader of the great expedition,he was the on size the truck                                        
100622,se fue a la cama en cuanto llegó a casa,he went to bed the moment he arrived home,he went at the  home he  home                                      
100649,hokkaido queda en el norte de japón,hokkaido is in the northern part of japan,japan  in japan                                           
100652,¿cómo se te ocurrió una idea tan buena,how did you come up with such a good idea,how was you become so a                                         
100655,¿cómo te relajas tras un duro día de trabajo,how do you relax after a hard day at work,how do you get of lot of job                                       
100659,¿cuántos hermanos y hermanas tienes,how many brothers and sisters do you have,how many cars do you think                                         
100675,siempre me pongo el cinturón cuando conduzco,i always wear a seatbelt when im driving,i always to                                            
100694,puedo oír a un gato arañando la ventana,i can hear a cat scratching at the window,i can see a  of                                         
100696,no puedo pedirte que te pongas en peligro,i cant ask you to put yourself in danger,i think you take in                                          
100700,no me puedo creer que estés tratando de sobornarme,i cant believe youre trying to bribe me,i get not to  get                                         
100710,no entiendo por qué no quiere ayudarnos,i cant see why you dont want to help us,i know why to                                           
100753,no me gusta comer ajo por la mañana,i dont like to eat garlic in the morning,i like to eat somewhere                                          
100771,no quiero que todos piensen que soy idiota,i dont want everyone to think im stupid,i want you are                                           
100774,no quiero salir esta tarde,i dont want to go outside this afternoon,i want to go this tonight                                         
100801,tuve que pedir prestado dinero para comprar el coche,i had to borrow money to purchase the car,we have to    the                                        
100805,tengo un mensaje de tu padre para ti,i have a message for you from your father,i have a gift for  you                                        
100806,ya he terminado de leer este libro,i have already finished reading this book,already this                                             
100826,oí a alguien decir mi nombre en la multitud,i heard someone call my name in the crowd,i heard tom to phone my phone                                        
100834,simplemente no puedo entender que es lo que motiva a tom,i just cant work out what makes tom tick,i just since i   tom                                        
100838,sólo quiero desearte una feliz navidad,i just want to wish you a merry christmas,i just want to just at                                         
100872,abrí una cuenta a nombre de mi hija,i opened an account in my daughters name,somebody gave back daughter                                           
100902,creo que tom está actuando algo sospechoso,i think tom is acting a little suspicious,i think tom boss                                           
100921,pensé que tom y mary tenían una relación,i thought tom and mary had a relationship,i thought tom  a to john                                        
100922,pensé que tom no tenía permitido comer dulces,i thought tom wasnt allowed to eat candy,i thought i had to  in                                        
100924,pensé que tom pararía a decir hola,i thought tom would stop by and say hello,i thought tom would talk  dancer                                        
100943,me puse bajo el paraguas de mi amigo,i took shelter under my friends umbrella,i made my sister of my friends                                        
100945,yo solía soñar con ser millonario,i used to dream about being a millionaire,i would to hire to  famous                                        
100949,los domingos por la tarde suelo salir de compras,i usually go shopping on sunday afternoon,we up on out seven                                          
100961,quiero mandarle un mensaje a mi amigo tom,i want to send a message to my friend tom,i want a favor of life this                                        
100982,te prestaré tanto dinero como quieras,i will lend you as much money as you want,ill give you and  you want                                        
100986,me pregunto si tom nos puede decir algo más,i wonder if tom can tell us anything else,i wonder tom to will to another                                        
100993,quisiera que conocieras a un amigo mío,i would like you to meet a friend of mine,id would me have buy a my look                                       
100997,no me perdería tu concierto por nada,i wouldnt miss your concert for anything,i miss anything word to anything                                         
101016,me alegra haber podido ayudarle la semana pasada,im glad i was able to help you last week,all good neither to i do the time                                       
101017,esta tarde voy a estudiar inglés,im going to study english this afternoon,i am to   this english                                        
101032,no estoy acostumbrado a hacer discursos en público,im not used to making speeches in public,not going to   the                                         
101058,me han pedido que cante un par de canciones,ive been asked to sing a couple of songs,i came to have give a painter                                        
101063,he estado aquí sentado pensando en ti,ive been sitting here thinking about you,been thinking about you                                           
101066,he estado esperando a tom durante mucho tiempo,ive been waiting for tom for a long time,been waiting time you time                                          
101070,he estado esperando aquí casi tres horas,ive been waiting here nearly three hours,been tired getting  three                                          
101071,tengo el presentimiento de que algo ha salido mal,ive got a feeling somethings gone wrong,got have the ace to  remain                                        
101082,si hubiera sabido la verdad te lo habría dicho,if id known the truth id have told you,if he did i  he  die                                       
101083,si él no viene ¿qué harás entonces,if he doesnt come what will you do then,if you if its i eight then                                        
101107,¿es cierto que has escalado esta montaña,is it true that you climbed this mountain,is that true you  or                                         
101115,me costó 5000 yenes reparar mi bicicleta,it cost me 5000 yen to repair my bicycle,i had a  to my bicycle                                        
101137,sólo debería llevar unos minutos,it should only take a couple more minutes,i only have to  the                                         
101139,empezó a llover en cuanto llegamos a casa,it started raining as soon as we got home,it soon to  i home  go                                       
101152,será complicado sacar tiempo para hacerlo,itll be hard to find the time to do that,you will time take you to  that                                       
101154,es un pueblecito de doscientos habitantes,its a village of two hundred inhabitants,its is a an to mess                                         
101187,los turistas japoneses en el extranjero son grandes derrochadores,japanese tourists abroad are big spenders,the 5 books 5 a 5                                         
