,German text, Expected text,Predicted text
198507,macht korrumpiert absolute macht korrumpiert absolut,power tends to corrupt and absolute power corrupts absolutely,what it fired you when                                 
198510,sie zahlte ohne zwingenden grund für die unterrichtsstunden ihrer tochter,she did without necessities to pay for her daughters lessons,she looked a along  to your                               
198534,manchmal steigen die börsenkurse und manchmal fallen sie,sometimes the stock market goes up and sometimes it goes down,most and smiled and  many                                
198556,der arzt war der ansicht der puls des patienten sei ein bisschen zu hoch,the doctor thought that the patients pulse was a little fast,the man was for was man to child                              
198576,das kraftwerk versorgt den entfernten bezirk mit elektrizität,the power plant supplies the remote district with electricity,the sun who to  the words                               
198582,die stadt wird durch ein wasserreservoir in den bergen mit wasser versorgt,the town is supplied with water from a reservoir in the hills,a ticket is a   building                               
198589,ihre finanziellen probleme begannen in der zweiten jahreshälfte,their financial problems began in the second half of the year,your  goes on of hall                                
198607,dieses arzneimittel ist für kinder unzugänglich aufzubewahren,this medicine must not be placed within the reach of children,this bridge is filled for to children                               
198659,tom hat sich den kopf über eine lösung des problems zerbrochen,tom has been racking his brains for a solution to the problem,tom has the son on in the                               
198661,tom hat nicht die absicht das zu tun was maria ihm angeschafft hat,tom has no intention of doing what mary told him he has to do,tom gave the know mary   has                              
198669,tom kann jetzt viel besser französisch als noch vor drei monaten,tom is much better at french now than he was three months ago,tom can too a at every                                
198696,tom sagt er wisse nicht wo maria ihre perlenkette gekauft hat,tom says he doesnt know where mary bought her pearl necklace,tom says that he had change a                               
198743,wir werden sie in unser bostoner büro versetzen,were going to send you to boston to work in our office there,we will our  river                                 
198767,so etwas sollte man in der anwesenheit von kindern nicht sagen,you shouldnt say that kind of thing when children are around,nothing would going not to  the thing                              
198790,seid ihr zufrieden mit der politischen situation in eurem land,are you satisfied with the political situation in your country,are you ever on  the in team                              
198830,er kaufte das land um darauf sein haus zu bauen,he bought the land for the purpose of building his house on it,he helped the book part the                                
198835,er hielt einen großgewachsenen mann an und fragte diesen nach dem weg zum plattenladen,he stopped a tall man and asked him the way to the record shop,he gave the dog and had a                               
198841,ich kann ganz gut chinesisch lesen es aber nicht sonderlich gut schreiben,i can read chinese fairly well but i cant write it very well,i speak not good  my good                               
198843,ich konnte es mir nicht leisten mit anderen worten war ich zu arm um mir’s zu kaufen,i couldnt afford it in other words i was too poor to buy it,i hurt to get to bed out sleep                              
198846,ich wusste gar nicht dass die lebenshaltungskosten in australien derartig hoch sind,i didnt know that the cost of living was so high in australia,i found in                                   
198850,ich weiß nicht ob ich an der sitzung morgen teilnehmen kann,i dont know whether ill be able to attend tomorrows meeting,i know how to without  the day                              
198865,ich hoffe du fährst,i hope that youre the one whos going to be doing the driving,i think you were lose                                 
198869,ich kenne eine frau die den gleichen vor und nachnamen wie ich hat,i know a woman whose first and last names are the same as mine,i have the son and i was had                              
198870,ich kenne sie bin aber mit dem rest ihrer familie nicht vertraut,i know her but im not acquainted with the rest of the family,i know my name with my with                               
198875,ich mag ihn nicht weil er höflich ist sondern weil er ehrlich ist,i like him not because hes courteous but because hes honest,he is him be he  a                               
198897,ich möchte dass du nicht so schnell fährst du machst sonst dass es dem baby schlecht wird,i wish you wouldnt drive so fast youre making the baby sick,i like you to you  it you                              
198901,ich frage mich ob tom es je in erwägung gezogen hat sich an einen spezialisten zu wenden,i wonder whether tom has ever considered going to a specialist,i wonder whether ill if ill  rome ill                             
198920,ohne den sturm wäre ich früher hier gewesen,if it had not been for the storm i would have arrived earlier,the have to  time here time here                              
198927,wenn du willst bleibe ich hier bei dir bis tom zurückkommt,if you want me to ill stay here with you until tom gets back,if you want to     tom                             
198928,wenn du alles bezweifelst bezweifle wenigstens auch deinen zweifel,if youre going to doubt everything at least doubt your doubt,if you time  next  time                               
198950,es wird schwer jemanden zu finden der das für dich macht,its going to be difficult to find somebody to do that for you,this is difficult to                                  
198957,die bullen der seeelefanten können bis zu zehnmal so viel wie ein weibchen wiegen,male elephant seals can weigh up to 10 times more than females,the room way too much                                 
198993,weil mein zimmer nach süden ausgerichtet ist wird es darin selbst im winter nicht so kalt,since my room faces south it isnt so cold even in the winter,my is   in  house                               
199000,studenten die zu spät kommen werden nicht in die halle eintreten dürfen,students arriving late will not be permitted to enter the hall,enough this not bus top  the                               
199013,die waren die letzten monat aus england bestellt wurden sind noch nicht angekommen,the goods ordered from england last month have not arrived yet,last but i ages seen last                                
199071,tom kann nicht zwischen billigem und teurem wein unterscheiden,tom cant tell the difference between cheap and expensive wine,he drank and                                   
199076,tom wusste nicht wo er eine eintrittskarte für marias konzert bekommen konnte,tom didnt know where to go to buy a ticket for marys concert,he knew where he was a was child                              
199103,tom achtete darauf dass seine kinder ihre teller leeraßen,tom made sure that his children ate everything on their plates,tom made his son into his bread                               
199115,tom sagte er habe nicht geahnt dass maria ihn letzten endes verlassen würde,tom said he didnt know mary was going to eventually leave him,tom said that  be  ok                               
199129,tom versuchte zu ergründen warum er anders als die anderen war,tom tried to understand why he was different from other people,tom tried an even what his needed                               
199141,tom begab sich zu einem nahegelegenen nachbarschaftsladen um sich etwas zu essen zu kaufen,tom went to a nearby convenience store to buy something to eat,tom began to  far a  girl                              
199175,kannst du besser japanisch oder chinesisch kochen,which are you better at cooking japanese food or chinese food,can you tell shut your coat                                
199176,warum dauert es so lange bis die mein internet anschalten,why does it take them so long to set up my internet connection,why does  it this  month movie                              
199188,du bist heute aber früh auf hast du irgendwas vor,youre up very early this morning do you have something to do,too stupid hard  so today you                               
199190,„kann tom trompete spielen“ – „nein aber er ist ein ganz schön guter sänger“,can tom play the trumpet no but hes a pretty good singer,tom is  pretty a happy good                               
199199,eine schönwetterperiode ermöglichte uns die ernte sicher einzubringen,a spell of fine weather enabled us to get the harvest in safely,all any were ship you                                 
199272,ich stellte fest dass ihr die lösung dieses problems schwer fiel,i found out that it was difficult for her to solve that problem,i was that tom hard brown                                
199286,ich hätte dir sagen sollen dass du keinen zucker mehr zu kaufen brauchst,i shouldve told you that you didnt need to buy any more sugar,i need you  go you my you                              
199322,wenn du nur wüsstest was ich alles tue damit wir dieses dach über dem kopf behalten,if only you knew how much i do to keep this roof over our heads,lets you that this if time for  better                             
199354,das hättest du wohl besser vor deiner tat bedacht,maybe you shouldve thought of that before you did what you did,you that    said  true                              
199358,weil mein fahrrad einen platten hatte verpasste ich den 7uhrzug,my bicycle had a flat tire so i missed the seven oclock train,my was  tv a  behind                               
199364,mein zug fährt um sechs uhr ab und kommt um zehn uhr an,my train leaves at six oclock and arrives there at ten oclock,my train work train come to                                
199370,da du jetzt erwachsen bist ist es an dir zu entscheiden was du tun willst,now that you are grownup it is up to you to decide what to do,are you sure to   do                               
199380,roosevelt wurde 1858 in eine wohlhabende familie in new york city geboren,roosevelt was born to a wealthy family in new york city in 1858,there died in     a                              
199384,sie lebt seit fünf jahren unter falschem namen,shes been living for the last five years under an assumed name,she was came to years few  years                              
199400,die kühle abendluft war erfüllt von dem frischen duft des meeres,the cool evening air was filled with the fresh smell of the sea,the contents was made of the damage sun                              
199407,der erste schwarze präsident amerikas war barack obama,the first black president of the united states was barack obama,the exact was  to  intended                               
199466,tom und mary waren meine backgroundsänger wenn ich früher auftritte hatte,tom and mary were my backup singers back when i used to perform,tom and mary and i  met at                              
199477,tom fand am strand eine angeschwemmte flaschenpost,tom found a bottle with a note inside it washed up on the beach,tom found the  light the rice                               
199517,tom meinte maria müsse das noch erledigen bevor sie gehe,tom said he thought that mary needed to do that before she left,tom asked mary to be that you                               
199528,tom hält es für wichtig dass maria französisch sprechen lernt,tom thinks its important for mary to learn how to speak french,tom told that french speak french                                
199562,wir konnten weil sie von innen verschlossen war die tür nicht öffnen,we couldnt open the door because it was locked from the inside,we get locked escape  the                                
199563,wir warfen dem photographen vor dass er nicht zuerst das kind gerettet hatte,we criticized the photographer for not rescuing the child first,we had the had we  won year kid                             
199566,wir haben jetzt gerade besuch könnten sie ein bisschen warten,we have a visitor right now would you mind waiting for a while,we just need to   help                               
199588,du kannst die milch nicht mehr vom kaffee trennen wenn du sie einmal hineingeschüttet hast,you cannot separate the milk from the coffee once you put it in,you have money the sponge on hurt or                              
199592,du musst deine hand heben wenn du in der sitzung etwas sagen willst,you have to raise your hand if you want to speak at the meeting,you have   if you                                
199671,ich habe vor alles hier wegzuschmeißen du kannst nehmen was du willst,i plan to throw all of this away you may take whatever you like,i have i   you to do                              
199689,ich bin sauer auf meinen freund weil er den valentinstag vergessen hat,im angry with my boyfriend for forgetting about valentines day,i met home way but was  years                              
199701,hättest du das nur bedacht bevor du deine große klappe aufgerissen hättest,if only youd thought of that before shooting your big mouth off,do you have your key bad food breakfast                              
199702,wenn es stimmt was tom mir gesagt hat müssen wir uns keine sorgen machen,if what tom told me is true then we have nothing to worry about,as anything way tom  us to                               
199744,ich bin extra vorsichtig weil ich angst habe noch einen fehler zu machen,my fear of making another mistake is why im being extra careful,i a   of right of                               
199804,die zwillinge ähnelten sich dermaßen dass es schwierig war sie auseinanderzuhalten,the twins were so alike that it was difficult to tell them apart,the key is   it                                
199888,tom schlüpfte leise in seine sachen und schlich auf zehenspitzen aus dem raum,tom slipped quietly into his clothes and tiptoed out of the room,tom ran and  across and the room                              
199917,kürzlich fanden wir heraus dass füchse hier auf diesem berg leben,we found out recently that some foxes live here on this mountain,lets we know here  in                                
199961,du hast vielleicht nerven mich hier unter falschem vorwand herzubringen,youve got a lot of nerve bringing me here under false pretenses,you must at     ago                              
199998,ausländische investoren zogen sich wegen regionaler politischer unruhen zurück,foreign investors backed off because of regional political unrest,smoking look gets line and of                                
200026,es gefällt mir nicht derjenige zu sein der immer den müll nach draußen bringen muss,i dont like being the one who always has to take out the garbage,i have to  have to                                
200038,ich habe gehört dass der junge mit dem fahrrad von hokkaidō bis nach kyūshū gefahren ist,i heard that that boy traveled from hokkaido to kyushu by bicycle,i only that boy   the                               
200044,mir ist jetzt klar dass die frau die ich für eine schwester hielt ärztin ist,i now understand that the woman i thought was a nurse is a doctor,i wonder my a  woman a large                              
200062,wenn ich es meiner mutter sage dann wird sie sich sorgen machen also werde ich es ihr wohl nicht sagen,if i tell my mother shell worry so i dont think ill tell her,if i not if ill  you                               
200075,wenn du im lotto gewinnen würdest was würdest du mit dem geld machen,if you were to win the lottery what would you buy with the money,could you tell time to the  truth                              
200087,heute wird es immer wieder einmal regnen daher nimmst du besser deinen schirm mit,it will rain on and off today so youd better take your umbrella,are it get hard you get you                               
200110,nichts ist angenehmer als an einem schönen frühlingstag spazieren zu gehen,nothing is more pleasant than to take a walk on a fine spring day,it is a too to   baby                              
200115,teile der stadt glichen nach dem sturm einem katastrophengebiet,parts of the city looked like a disaster zone following the storm,the next store a  month a month                              
200149,das einzige was mich wahrhaft beängstigt ist der gedanke dich zu verlieren,the only thing that really scares me is the thought of losing you,the is be to think of you                               
200161,die gespräche zwischen arbeitern und management kamen zu keinem eindeutigen ergebnis,the talk between labor and management yielded no definite results,the king ladies love many each                                
200177,diese politik wird sicherlich erfolg dabei haben die wirtschaft zu stimulieren,this policy is sure to go a long way towards stimulating business,the of is not can to mine                               
200184,tom und maria spielten zusammen im sandkasten und bauten sandburgen,tom and mary played in the sandbox together and made sand castles,tom and mary are up in  same dressed                             
200188,tom fragte mich ob ich auf der liste der zu der feier eingeladenen stehe,tom asked me if he was on the list of people invited to the party,mary asked me is on the   dog                             
200204,tom ist älter geworden und geht nicht mehr so oft wie früher aus,tom has gotten older and he doesnt go out as often as he used to,tom looks as    father                               
200236,tom trug eine kugelsichere weste deswegen hat ihn die kugel nicht getötet,tom was wearing a bulletproof vest so the bullet didnt kill him,tom got it while i and his                               
200258,tom trägt gewöhnlich lange unterhosen wenn er im winter draußen arbeitet,when tom works outside in the winter he usually wears long johns,tom seldom goes than his years                                
200264,du kannst das gedicht nicht verstehen bevor du es viele male gelesen hast,you can not appreciate the poem until you have read it many times,you  know you                                  
200293,soviel ich weiß gab es während des ersten semesters keine probleme,as far as i know there were no problems during the first semester,i about i about this my first                               
200295,wie es bei amerikanern oft der fall ist macht er sich nichts aus rohem fisch,as is often the case with americans he does not care for raw fish,how french seems can be is                                
200327,er schließt sich oft im arbeitszimmer ein und schreibt solche sachen,he often shuts himself up in the study and writes things like this,he often off while a in doctor                               
200343,ich denke nicht dass tom uns die bilder auf seinen smartphone zeigen wollte,i dont think tom wanted to show us the pictures on his smartphone,i tell tom to tell to  his                              
200352,mein vater starb an einer subarachnoidalblutung als ich vierzehn war,i lost my father to a subarachnoid haemorrhage when i was fourteen,my father died when years his  years                              
200357,ich sprach mit ihm auf englisch und fand dass ich mich verständlich machen konnte,i spoke to him in english and found i could make myself understood,i came home and but i                                
200374,entschuldige ich wollte dich nicht vor deinen freunden beschämen,im sorry i didnt mean to embarrass you in front of your friends,if i    kick                                
200389,wenn du mehr blätter in die kanne gibst schmeckt der tee besser,if you put more tea leaves into the pot the tea will taste better,would you next to  time to stop                              
200400,ich habe über zwei stunden gebraucht um einige seiten englisch zu übersetzen,it took me more than two hours to translate a few pages of english,i ate time  almost at all every                              
200420,maria ließ die tür angelehnt so dass tom mithören konnte was sie sagte,mary left the door ajar and tom could overhear what she was saying,tom knows the mary that                                 
200431,natürlich um wertvoll zu sein muss der alte teppich in einem guten zustand bewahrt worden sein,of course to be valuable an old carpet must be in good condition,his teacher home to  teacher a                               
200438,hör bitte auf um den heißen brei herumzureden und komm gleich zur sache,please stop beating around the bush and come straight to the point,please up the and  to and stop                              
200439,ziemlich viele menschen wohnten der eröffnungszeremonie für die neue brücke bei,quite a few people attended the opening ceremony of the new bridge,many son many  you many  of                              
200468,der kriminaltechniker fand an der hand des opfers schussrückstände,the forensic technician found gunshot residue on the victims hand,the road of made to the                                
200488,es gibt nichts was ich lieber täte als den nachmittag mit dir zu verbringen,theres nothing id like more than to spend the afternoon with you,all  you   to                                
200504,tom hat maria anscheinend noch immer nicht mitgeteilt dass er das nicht zu tun gedenkt,tom apparently hasnt yet told mary that hes not going to do that,tom sure not   to do                               
200507,tom kaufte eine zeitung und las sie auf dem weg zur arbeit im zug,tom bought a newspaper and read it on the train on the way to work,tom took the son on son on a                              
200542,tom weiß so ziemlich alles was man über gemüseanbau wissen kann,tom knows just about all there is to know about growing vegetables,tom is like kind what about to                               
200543,tom ließ seine arbeit halbfertig liegen um noch rechtzeitig den bahnhof zu erreichen,tom left his work half done so he could get to the station in time,tom got his for off at the day                              
200545,tom muss vor dem fünfzehnten des nächsten monats seinen pass erneuern lassen,tom needs to renew his passport before the fifteenth of next month,tom came to up for   at way                             
200549,tom bemerkte schnell dass er anders als die anderen kinder war,tom quickly realized that he was different from the other children,tom lost when  was when it got                              
200583,wir fragten ihn über die haussprechanlage ob er schnell herunterkommen könnte,we asked him on the interphone if he could come downstairs quickly,he kept him while i at  time                              
200586,wir haben eine sehr gute mannschaft und darum allen grund optimistisch zu sein,we have a very good team so we have every reason to be optimistic,we have a very got we got very                              
200638,wenige schätze sind so viel wert wie ein weiser und hilfreicher freund,few treasures are worth as much as a friend who is wise and helpful,my years is as    a                              
200642,er fand schneller eine arbeit als er dachte,he didnt have as much trouble finding a job as he thought he would,he knows like fond  like                                
200647,ich habe blumen gekauft weil heute nachmittag meine großmutter zu besuch kommt,i bought flowers because my grandmother is coming today for a visit,i have the book way at  party                              
200657,ich denke nicht dass es einfach sein wird tom davon zu überzeugen das zu tun,i dont think that its going to be easy to convince tom to do that,i think tom to   do that                              
200668,ich habe beide bücher gelesen aber keines von ihnen ist interessant,i have read both of these books but neither of them is interesting,i am people i  you not                               
200670,ich habe dir eigentlich nichts gesagt was du nicht bereits hättest wissen müssen,i havent really told you anything you shouldnt have already known,i have you    to                               
200672,ich habe noch niemanden getroffen mit dem ich den rest meines lebens verbringen wollen würde,i havent yet met anyone id want to spend the rest of my life with,i have my to at  the                               
200673,ich habe dieses lied so oft im radio gehört dass ich es zunehmend gehasst habe,i heard that song so many times on the radio that i grew to hate it,i convinced the book song was i a                              
200679,ich hätte vorher etwas sagen sollen aber ich befürchtete sie würden sich ärgern,i shouldve said something before but i was afraid youd get angry,i forgot no hear how i can to                              
200714,im sommer fahre ich ans meer und im winter in die berge,in the summer i go to the sea and in the winter to the mountains,i good in                                   
200716,es kommt mir nicht sehr sinnvoll vor dass wir hier nicht sitzen dürfen,it doesnt make much sense to me that we arent allowed to sit here,we its cold not we   out                              
200783,das vorhaben muss spätestens bis ende der woche abgeschlossen sein,the project has to be finished by the end of the week at the latest,the work will be  next week                               
200784,der sekretär öffnete die post die an diesem morgen gebracht worden war,the secretary opened the mail which had been delivered that morning,the thief is                                   
200824,tom isst nicht nur mehr sondern auch bei weitem schneller als maria,tom not only eats more than mary does but he also eats much faster,tom looks as mary last mary                                
200888,„gib mir etwas zum schreiben“ „ist das recht“ „ja das ist gut“,give me something to write with will this do yes it will do,sorry is  me translate that this that                              
200895,nachdem er den ganzen nachmittag in der heißen sonne gearbeitet hatte sah tom überhitzt und müde aus,after working in the hot sun all afternoon tom looked hot and tired,after all and   began was                               
200987,mark twain sagte alle verallgemeinerungen sind falsch diese eingeschlossen,mark twain said all generalizations are false including this one,these of were are  game                                
201001,füllen sie bitte das anmeldeformular aus und schicken sie es bis zum 2 november zurück,please fill in the application form and send it back by november 2nd,leave  that and out it  train                              
201011,da der zug sehr voll war musste ich bis ueno stehen,since the train was very crowded i had to stand all the way to ueno,a last day at last at last  time                             
201041,die polizei fand vor toms schlafzimmerfenster keine fußabdrücke,the police couldnt find any footprints outside toms bedroom window,the food  have of bad                                
201055,nichts ist schlimmer als etwas halbherzig zu tun,there is nothing worse than doing something in a halfhearted manner,it is how important to                                 
201065,tom und maria schwelgten in erinnerungen an jene nacht vor all den jahren als sie sich kennenlernten,tom and mary reminisced about the night they met all those years ago,tom and mary are up after                                
201079,tom beschloss maria zu heiraten obwohl seine eltern das nicht wollten,tom decided to marry mary even though his parents didnt want him to,tom said to do to know                                
201094,tom wollte eigentlich zu fuß nach hause gehen da es aber anfing zu regnen nahm er sich ein taxi,tom intended to walk home but it started raining so he took a taxi,it tried to  his   home                              
201155,du brauchst nichts anderes zu tun als dich hier hinzusetzen und die fragen des arztes zu beantworten,all you have to do is sit down here and answer the doctors questions,you have not to   this to                              
201173,ethnische minderheiten kämpfen mit vorurteilen armut und unterdrückung,ethnic minorities struggle against prejudice poverty and oppression,be languages trees be  and                                
201183,er trifft die meisten wenn nicht alle wichtigen entscheidungen für seine firma,he makes most if not all of the important decisions for his company,he tell not he is  first                               
201195,da ich nichts anderes zu tun hatte wollte ich mich nützlich machen,i didnt have anything else to do so i thought id make myself useful,i no to   do to do                              
201210,ich pflege des abends immer einen spaziergang um den nahegelegenen teich zu unternehmen,i make it a rule to take a walk around the nearby pond in the evening,i bought the at in  the                               
201217,ich glaube du bist es auf die ich all diese jahre gewartet habe,i think that youre the one ive been waiting for for all these years,i think that were that all  looking                              
201224,ich sehe sie dann am nächsten dienstag wieder das heißt am 10 september,i will see you on next tuesday that is to say the 10th of september,ill go get next                                  
201227,ich frage mich ob tom es je in erwägung gezogen hat sich an einen spezialisten zu wenden,i wonder whether or not tom has ever considered going to a specialist,i wonder whether ill if ill  rome ill                             
201255,methanol hat die gleichen auswirkungen wie ethanol macht darüber hinaus jedoch blind,methanol has the same effects as ethanol but also makes people blind,science is  but  in death                               
201264,es ist ziemlich dumm mit einem fahrrad zu fahren das keine bremsen hat,riding a bike that doesnt have brakes is a pretty stupid thing to do,it is not but  to a girl                              
201277,das erste was ich morgen machen möchte ist eine gute teilzeitarbeit zu finden,the first thing i want to do tomorrow is to find a good parttime job,this is  to idea think good  problem                             
201299,tom ruft maria jeden abend an und spricht mindestens eine dreiviertelstunde lang mit ihr,tom calls mary every night and talks with her for at least 45 minutes,tom and mary both  you every day                              
201331,wir wissen nicht wo tom steckt aber wir müssen ihn so schnell es geht ausfindig machen,we dont know where tom is but we need to find him as soon as we can,we know tom    to happens                              
201332,wir ernähren uns häufig von dingen die ohne dass wir es wissen unserer gesundheit schädlich sind,we often eat foods which are harmful to our health without knowing it,we have better we    it                              
201360,auf den erwerb bzw die inanspruchnahme der meisten güter und dienstleistungen wird eine fünfprozentige konsumsteuer erhoben,a 5 consumption tax is levied on purchases of most goods and services,after a the closed when be in light                              
201366,nachdem er drei wochen lang nach einem job gesucht hatte fand er eine gut bezahlte stelle,after spending three weeks looking for a job he found a wellpaid one,he was at it a at a                               
201371,wenn es etwas gibt was ich für sie tun kann dann melden sie sich bei mir,be sure to get in touch with me if there is anything i can do for you,if you  me you  me                               
201431,mit toms gesundheit ging es in der letzten zeit immer einen schritt voran und zwei schritte zurück,its been one step forward and two steps back with toms health lately,both had time two time                                 
201440,maria empfahl tom sich beim speiseeis zurückzuhalten wenn er nicht dick werden wolle,mary told tom to go easy on the ice cream if he didnt want to get fat,tom is not to if  you to                              
201448,meine eltern mögen meine freundin nicht sie sagen dass sie nur aufs geld aus ist,my parents dont like my girlfriend they say that shes a gold digger,my friends of as can my                                
201518,tom ist kapitän der fußballmannschaft und spielt auch im baseballteam mit,tom is the captain of the soccer team and is also on the baseball team,tom is and     in                              
201526,tom brachte drei jahre in boston bei seiner arbeit als geheimpolizist zu,tom spent three years in the boston working as an undercover policeman,tom took his son at  every week                              
201565,alle wirtschaftsprobleme wären zu lösen wenn man die selbstgefälligkeit steuerpflichtig machte,all economic problems would be solved if they made complacency taxable,it looks the to like to went it                              
201567,da ich den zug verpasst hatte musste ich ungefähr eine stunde auf den nächsten warten,as i missed the train i had to wait for the next one for about an hour,i want to pick at    more                             
201588,für jemanden der eigentlich ein experte sein sollte scheinen sie nicht viel zu wissen,for someone whos supposed to be an expert you dont seem to know much,it is a too you know to                               
201601,ich habe meine kamera eigentlich nicht vergessen ich wollte einfach nicht fotografieren,i didnt actually forget my camera i just didnt want to take pictures,i have my                                   
201612,es wäre sicherlich nicht allzu schwierig herauszufinden wer in unser system eingedrungen ist,im sure it wouldnt be too hard to find out who hacked into our system,it is very idea when idea   large                             
201649,der mittlere osten liefert einen großteil des öls das japan verbraucht,the middle east supplies a major portion of the oil that japan consumes,the road is out the  lock                               
201675,tom kann nicht kaufen was er möchte weil er nicht genug geld hat,tom cant buy what he wants to buy because he doesnt have enough money,tom is not  but to  say                              
201705,tom sagt er habe mit seiner freundin gekuschelt aber sie hätten sich noch nicht geküsst,tom says hes snuggled with his girlfriend but they havent yet kissed,he says but he  his                                
201714,tom wäre nächsten monat dreißig geworden wäre er nicht bei einem unfall gestorben,tom wouldve turned thirty next month if he hadnt died in the accident,tom died when  last when last years                              
201718,wir können hierbleiben solange unsere nahrungsmittel und wasservorräte ausreichen,we can stay here for as long as our supplies of food and water hold out,we get our river and  in and                              
201724,was wir jetzt sehen ist ein land welches am rande eines bürgerkriegs entlangtaumelt,what we are seeing now is a country teetering on the brink of civil war,we should a  for time in mountain                              
201740,die ehefrau ist die steuer die man für den luxus bezahlen muss kinder zu haben,a wife is the tax that you have to pay for the luxury of having children,the  who made have lock the                               
201767,ich bin fassungslos dass tom gekündigt hat ohne vorher mit maria darüber zu sprechen,i cant believe tom quit his job without talking it over with mary first,i hate how to    with                              
201772,ich weiß nicht wann ich die zeit haben werde um dieses buch fertig zu lesen,i dont know when ill have time to finish reading the rest of this book,i know how this time the                                
201838,du solltest über mich wissen dass ich viel zeit mit lesen verbringe,something you should know about me is that i spend a lot of time reading,you should like me you so me                               
201848,als ich das letzte mal mit tom gesprochen habe sagte er dass er nicht vorhabe nach boston zu gehen,the last time i spoke to tom he said he wasnt planning to go to boston,i do to      boston                             
201873,tom hat anscheinend ständig zu tun und verfügt über wenig freizeit,tom always seems to be very busy and doesnt seem to have much free time,tom has said else things to finish                               
201892,es scheint tom eine menge spaß zu machen soviel unruhe zu stiften wie er nur kann,tom seems to have a lot of fun trying to cause as much trouble as he can,it hard a   he a                               
201894,tom betrachtete marias foto ein letztes mal und warf es dann ins feuer,tom took one more look at marys picture and then threw it into the fire,tom died i the ball i a body                              
201932,als der tag der hochzeit immer näher rückte fing tom an zweifel zu hegen,as the date of the wedding approached tom started having secondthoughts,tom only  to taxi next  year                              
201939,vergewissert euch vor der fahrt dass an eurem wagen die scheinwerfer funktionieren,check your car before you drive to make sure that your lights are working,cover what know that  will                                
201969,ich sehe dass sich ihre manieren in den letzten zwanzig jahren nicht gerade verbessert haben,i see that your manners havent exactly improved in the last twenty years,i found my friend in  my in                              
201983,ich habe den größten teil meines lebens in der steppe verbracht wo es kaum bäume und hügel gibt,ive lived most of my life in the plains where trees and hills are scarce,i got my team i   team                              
202000,es wäre schade wenn du es dir entgehen ließest tom zu treffen während du in boston bist,it would be a pity if you missed out on seeing tom while youre in boston,its like to you   to                               
202026,sollte jemand während meiner abwesenheit bei mir vorbeischauen dann sag ihm dass ich bald zurück sein werde,should anyone call on me in my absence tell him that i will be back soon,if i have me my i  be my                             
202046,es gab kaum mehr als 100 häuser in dem dorf an dem wir gestern vorbeigekommen sind,there were just barely over 100 houses in the village we passed yesterday,it has  been of  our                               
202059,tom erlebte den schulabschluss seiner kinder nicht mehr,tom didnt live long enough to see his children graduate from high school,tom cost his job off own                                
202079,tom hatte maria einen liebesbrief gesendet aber er hat nie erfahren ob dieser bei ihr ankam,tom sent mary a love letter but he never did find out whether it arrived,tom was the idea when i know to                              
202103,ob shakespeare dieses gedicht schrieb oder nicht wird wahrscheinlich ein rätsel bleiben,whether shakespeare wrote this poem or not will probably remain a mystery,if even mind if  accept  or offer                             
202128,ehrlich gesprochen glaube ich nicht dass sie das zeug zum lehrer haben,frankly speaking i dont think you have what it takes to become a teacher,i sure that when i was                                
202153,ich glaube du bist es auf die ich all diese jahre gewartet habe,i think that youre the one that ive been waiting for for all these years,i think that were that all  looking                              
202176,wer von anderen viel fordert sollte auch von sich selbst viel fordern,if youre so demanding of others you should also be demanding of yourself,we had a lot  of a time                              
202214,die ermittlungen ergaben dass der polizeibeamte nichts falsch gemacht hatte,the investigation concluded that the police officer had done nothing wrong,the rumor is  to but lie                               
202227,auf dem hemd das die polizei unter toms bett gefunden hat befanden sich blutspuren,there were blood stains on the shirt that the police found under toms bed,the room the is on  building room                              
202231,das ist der unvergessliche ort an dem wir uns zum ersten mal getroffen haben,this is the unforgettable place where we met each other for the first time,we is case of we                                 
202329,sprichst du mit deinem vater in derselben sprache wie mit deiner mutter,do you speak the same language to your father that you speak to your mother,which you can hard age you tennis her age                             
202346,ich kaufte einen apfel und eine apfelsine ich aß den apfel und gab die apfelsine tom,i bought an apple and an orange i ate the apple and gave the orange to tom,i have tom and john i john and john child                            
202347,ich wollte nicht noch mehr zeit darauf verwenden tom vom französischlernen zu überzeugen,i didnt want to spend any more time trying to convince tom to study french,i want to                                   
202348,ich verstehe nicht wie er es schafft zu sprechen ohne die zigarette aus dem mund zu nehmen,i dont know how he can speak without taking the cigarette out of his mouth,i tell myself to  my situation                               
202355,ich hoffe dass es dir nichts ausmacht wenn ich das erwähne aber du weißt dass ich dich liebe,i hope that you dont mind my mentioning this but you know that i love you,i hope you   that i that me                             
202393,durchsuche vor dem waschen auf jeden fall alle kleidungstaschen nach papiertaschentüchern,make sure you check all the pockets for tissues before washing your clothes,all    climb river on                               
202397,fast eine milliarde menschen auf der welt haben keinen zugang zu sicherem sauberem wasser,nearly one billion people around the globe lack access to clean safe water,our a of is a large month                               
202401,einer der fahrgäste ging nach vorne und sprach mit dem busfahrer,one of the passengers went to the front of the bus and talked to the driver,the of  i were                                 
202418,das experiment muss gelingen die nächste chance ergibt sich erst in fünfzig jahren,the experiment must succeed the next chance will only arise in fifty years,the next of taking back the next                               
202458,tom träumte dass er den wettbewerb gewonnen dass man aber seinen preis gestohlen hätte,tom dreamed that he had won the contest but that his prize had been stolen,tom was only in the prize the prize                              
